check,param,value,share_H,share_L,share_A,mean_c_T,mean_v_T,mean_cumulative_u
A_verification_attractor,m_A^v,0.25,0.97099,0.0,0.02901,0.9999999999652448,1.733446601238616e-11,633.1406179894515
A_verification_attractor,m_A^v,0.45,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215
A_verification_attractor,m_A^v,0.65,0.0,0.0,1.0,0.44999999999718276,0.6499999999915486,684.7231633309689
B_terminal_weight,w,0.25,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215
B_terminal_weight,w,0.5,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215
B_terminal_weight,w,0.75,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215
