m_H^v,m_A^v,m_L^v,share_H,share_L,share_A,mean_c_T,mean_v_T,mean_cumulative_u,regime,seconds
0.0,0.0,0.0,0.98392,0.0,0.01608,0.9999999999739437,9.86019970420207e-12,632.9420331618459,mostly H,8.186394125
0.0,0.05,0.0,0.98208,0.0,0.01792,0.9999999999728908,1.0659960399462619e-11,632.9733845761552,mostly H,8.2107355
0.0,0.1,0.0,0.98041,0.0,0.01959,0.9999999999718568,1.1647724651431289e-11,632.9987823175053,mostly H,8.161428958
0.0,0.15,0.0,0.97824,0.0,0.02176,0.9999999999704441,1.2926749574331599e-11,633.0316692211829,mostly H,8.242350333000001
0.0,0.2,0.0,0.97505,0.0,0.02495,0.999999999968258,1.4743869923497316e-11,633.0776708181311,mostly H,8.430874416
0.0,0.25,0.0,0.97099,0.0,0.02901,0.9999999999652448,1.733446601238616e-11,633.1406179894515,mostly H,8.591551167
0.0,0.3,0.0,0.9651,0.0,0.0349,0.9999999999602666,2.154470677804453e-11,633.2055000116812,mostly H,8.542130041000002
0.0,0.35,0.0,0.95454,0.0,0.04546,0.9999999999493251,3.0454886820231454e-11,633.3161970710353,mostly H,8.572288958000001
0.0,0.4,0.0,0.0,0.0,1.0,0.44999999999718276,0.39999999999859137,635.0106888025264,mostly A,8.815777999999998
0.0,0.45,0.0,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215,mostly A,8.998314042
0.0,0.5,0.0,0.0,0.0,1.0,0.44999999999718276,0.49999999999577405,654.8956786139033,mostly A,8.941957457999997
0.0,0.55,0.0,0.0,0.0,1.0,0.44999999999718276,0.5499999999943653,664.8381735195923,mostly A,9.001226375000002
0.0,0.6,0.0,0.0,0.0,1.0,0.44999999999718276,0.5999999999929573,674.7806684252805,mostly A,9.013368707999998
0.0,0.65,0.0,0.0,0.0,1.0,0.44999999999718276,0.6499999999915486,684.7231633309689,mostly A,9.107653083000002
0.0,0.7,0.0,0.0,0.0,1.0,0.44999999999718276,0.6999999999901398,694.6656582366575,mostly A,9.138226207999995
0.0,0.75,0.0,0.0,0.0,1.0,0.44999999999718276,0.7499999999887313,704.6081531423458,mostly A,9.154436082999997
0.0,0.8,0.0,0.0,0.0,1.0,0.44999999999718276,0.7999999999873226,714.5506480480343,mostly A,9.320039291
0.0,0.85,0.0,0.0,0.0,1.0,0.44999999999718276,0.8499999999859139,724.493142953723,mostly A,9.443735791999998
0.0,0.9,0.0,0.0,0.0,1.0,0.44999999999718276,0.8999999999845052,734.4356378594115,mostly A,9.501101624999997
0.0,0.95,0.0,0.0,0.0,1.0,0.44999999999718276,0.9499999999830966,744.3781327651,mostly A,9.519345459
0.0,1.0,0.0,0.0,0.0,1.0,0.44999999999718276,0.9999999999816879,754.3206276707882,mostly A,9.223493249999997
0.1,0.0,0.0,0.98383,0.0,0.01617,0.9999999999738587,0.10000000000561947,632.9494583094528,mostly H,8.872999
0.1,0.05,0.0,0.98235,0.0,0.01765,0.9999999999730107,0.10000000000625416,632.9778940256826,mostly H,8.906886
0.1,0.1,0.0,0.98032,0.0,0.01968,0.9999999999717608,0.10000000000704304,633.0069570776277,mostly H,8.908823041000005
0.1,0.15,0.0,0.97807,0.0,0.02193,0.9999999999703096,0.10000000000807738,633.0411859244131,mostly H,8.857846125000002
0.1,0.2,0.0,0.97512,0.0,0.02488,0.9999999999682722,0.10000000000948228,633.089677047051,mostly H,8.983568040999998
0.1,0.25,0.0,0.97083,0.0,0.02917,0.9999999999650611,0.10000000001157767,633.1471179224407,mostly H,8.997944875000002
0.1,0.3,0.0,0.9652,0.0,0.0348,0.9999999999603223,0.10000000001481248,633.2123132074688,mostly H,9.037157416999996
0.1,0.35,0.0,0.95469,0.0,0.04531,0.9999999999493965,0.10000000002172106,633.3232188436453,mostly H,9.151983834
0.1,0.4,0.0,0.92004,0.0,0.07996,0.99999999988597,0.10000000005925289,633.46243291947,mostly H,9.311530583000007
0.1,0.45,0.0,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215,mostly A,9.798724
0.1,0.5,0.0,0.0,0.0,1.0,0.44999999999718276,0.49999999999577405,654.8956786139033,mostly A,9.939939749999994
0.1,0.55,0.0,0.0,0.0,1.0,0.44999999999718276,0.5499999999943653,664.8381735195923,mostly A,9.988752542
0.1,0.6,0.0,0.0,0.0,1.0,0.44999999999718276,0.5999999999929573,674.7806684252805,mostly A,10.048126374999995
0.1,0.65,0.0,0.0,0.0,1.0,0.44999999999718276,0.6499999999915486,684.7231633309689,mostly A,9.973007374999995
0.1,0.7,0.0,0.0,0.0,1.0,0.44999999999718276,0.6999999999901398,694.6656582366575,mostly A,9.944938167000004
0.1,0.75,0.0,0.0,0.0,1.0,0.44999999999718276,0.7499999999887313,704.6081531423458,mostly A,9.624938916000005
0.1,0.8,0.0,0.0,0.0,1.0,0.44999999999718276,0.7999999999873226,714.5506480480343,mostly A,9.727042957999998
0.1,0.85,0.0,0.0,0.0,1.0,0.44999999999718276,0.8499999999859139,724.493142953723,mostly A,9.815233875000004
0.1,0.9,0.0,0.0,0.0,1.0,0.44999999999718276,0.8999999999845052,734.4356378594115,mostly A,9.865352915999992
0.1,0.95,0.0,0.0,0.0,1.0,0.44999999999718276,0.9499999999830966,744.3781327651,mostly A,10.209822915999993
0.1,1.0,0.0,0.0,0.0,1.0,0.44999999999718276,0.9999999999816879,754.3206276707882,mostly A,10.280422125000001
0.2,0.0,0.0,0.98375,0.0,0.01625,0.9999999999737903,0.2000000000013539,632.9582850307947,mostly H,9.865701790999992
0.2,0.05,0.0,0.98217,0.0,0.01783,0.9999999999728543,0.20000000000181659,632.9856837310239,mostly H,9.87607754199999
0.2,0.1,0.0,0.98026,0.0,0.01974,0.9999999999716731,0.20000000000240487,633.0178736848835,mostly H,9.469244083000007
0.2,0.15,0.0,0.97792,0.0,0.02208,0.9999999999701707,0.2000000000031788,633.0510111220076,mostly H,9.504055584
0.2,0.2,0.0,0.975,0.0,0.025,0.9999999999681484,0.20000000000422588,633.0998720361675,mostly H,9.538182500000005
0.2,0.25,0.0,0.97079,0.0,0.02921,0.9999999999649803,0.2000000000057447,633.1577569951596,mostly H,9.512306707999997
0.2,0.3,0.0,0.96518,0.0,0.03482,0.9999999999602095,0.2000000000081311,633.2272597483699,mostly H,9.178455166000006
0.2,0.35,0.0,0.95525,0.0,0.04475,0.9999999999499788,0.20000000001287385,633.3324732433774,mostly H,9.391822125000004
0.2,0.4,0.0,0.92794,0.0,0.07206,0.9999999999043281,0.20000000003235674,633.516352109333,mostly H,9.438616499999995
0.2,0.45,0.0,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215,mostly A,9.950634417000003
0.2,0.5,0.0,0.0,0.0,1.0,0.44999999999718276,0.49999999999577405,654.8956786139033,mostly A,9.843949875000007
0.2,0.55,0.0,0.0,0.0,1.0,0.44999999999718276,0.5499999999943653,664.8381735195923,mostly A,9.941913959000004
0.2,0.6,0.0,0.0,0.0,1.0,0.44999999999718276,0.5999999999929573,674.7806684252805,mostly A,9.957959292000012
0.2,0.65,0.0,0.0,0.0,1.0,0.44999999999718276,0.6499999999915486,684.7231633309689,mostly A,9.971850041999986
0.2,0.7,0.0,0.0,0.0,1.0,0.44999999999718276,0.6999999999901398,694.6656582366575,mostly A,10.0451755
0.2,0.75,0.0,0.0,0.0,1.0,0.44999999999718276,0.7499999999887313,704.6081531423458,mostly A,10.123408957999999
0.2,0.8,0.0,0.0,0.0,1.0,0.44999999999718276,0.7999999999873226,714.5506480480343,mostly A,10.098332583000001
0.2,0.85,0.0,0.0,0.0,1.0,0.44999999999718276,0.8499999999859139,724.493142953723,mostly A,10.162834458999981
0.2,0.9,0.0,0.0,0.0,1.0,0.44999999999718276,0.8999999999845052,734.4356378594115,mostly A,9.766582874999983
0.2,0.95,0.0,0.0,0.0,1.0,0.44999999999718276,0.9499999999830966,744.3781327651,mostly A,9.853637915999997
0.2,1.0,0.0,0.0,0.0,1.0,0.44999999999718276,0.9999999999816879,754.3206276707882,mostly A,9.936951332999996
0.3,0.0,0.0,0.98357,0.0,0.01643,0.9999999999736348,0.29999999999701576,632.9682687142828,mostly H,9.454259124999993
0.3,0.05,0.0,0.98216,0.0,0.01784,0.9999999999727998,0.29999999999736837,632.9950766232196,mostly H,9.316417875000013
0.3,0.1,0.0,0.98009,0.0,0.01991,0.9999999999715048,0.29999999999770566,633.0278672070399,mostly H,12.031356749999986
0.3,0.15,0.0,0.97783,0.0,0.02217,0.9999999999700371,0.299999999998231,633.0610686783599,mostly H,12.525243958999994
0.3,0.2,0.0,0.97523,0.0,0.02477,0.9999999999682108,0.29999999999895816,633.1133456625886,mostly H,12.649033000000003
