n_c,n_v,n_z,action_agreement,max_abs_c,max_abs_u,n_runs_with_disagreement,first_t,first_M0_action,first_M1_action,dp_seconds,sim_seconds,runtime_seconds,status
51,51,25,0.99026,0.20802277802586422,0.3398664408329257,100,22,H,A,1.0128056670000003,7.725513417000002,8.73833725,ok
101,101,51,0.99096,0.12434214249180742,0.32949276059276644,100,21,A,H,5.575511584000001,8.285776415999997,13.861307999999998,ok
201,201,101,0.98912,0.1299141634681727,0.3297246201696452,100,21,A,H,33.90393041600001,9.519748707999995,43.423700124999996,ok
