m_H^v,m_A^v,w,share_H,share_L,share_A,mean_c_T,mean_v_T,mean_cumulative_u,regime
0.0,0.25,0.25,0.97099,0.0,0.02901,0.9999999999652448,1.733446601238616e-11,633.1406179894515,mostly H
0.0,0.25,0.5,0.97099,0.0,0.02901,0.9999999999652448,1.733446601238616e-11,633.1406179894515,mostly H
0.0,0.25,0.75,0.97098,0.0,0.02902,0.9998679999652448,6.000001733446602e-05,633.1403898829034,mostly H
0.2,0.45,0.25,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215,mostly A
0.2,0.45,0.5,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215,mostly A
0.2,0.45,0.75,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215,mostly A
0.4,0.65,0.25,0.0,0.0,1.0,0.44999999999718276,0.6499999999915486,684.7231633309689,mostly A
0.4,0.65,0.5,0.0,0.0,1.0,0.44999999999718276,0.6499999999915486,684.7231633309689,mostly A
0.4,0.65,0.75,0.0,0.0,1.0,0.44999999999718276,0.6499999999915486,684.7231633309689,mostly A
